id;scheduledsetupstarttime;actualsetupstarttime;scheduledsetupendtime;actualsetupendtime;scheduledcandidatearrivaltime;actualcandidatearrivaltime;scheduledproctorarrivaltime;actualproctorarrivaltime;scheduledonboardingstarttime;actualonboardingstarttime;scheduledonboardingendtime;actualonboardingendtime;scheduledexamstarttime;actualexamstarttime;scheduledexamendtime;actualexamendtime
1;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-12;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13
2;2020-05-13;2020-05-13;2020-05-12;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13
3;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13
4;2020-05-12;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13
5;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13
6;2020-05-12;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13
7;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13
8;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-12;2020-05-13;2020-05-13;2020-05-13
9;2020-05-13;2020-05-13;2020-05-13;2020-05-12;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13
10;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13;2020-05-13
